number,owner,title,created_at,updated_at,closed_at,issue_url,diff_url,PR_lived,events_url,labels,issue_created_at,issue_closed_at,lines_changed
58997,WeiZhixiong,net/dial: only request domain A record when IPv6 not support,2023-03-13T00:52:52Z,2023-03-13T01:07:17Z,,https://api.github.com/repos/golang/go/issues/58997,https://github.com/golang/go/pull/58997.diff,865.0,https://api.github.com/repos/golang/go/issues/58997/events,[],2023-03-13T00:52:52Z,,9
58986,mohammadv184,database/sql: refactor unused variables to use blank identifiers,2023-03-12T00:20:16Z,2023-03-12T00:28:46Z,,https://api.github.com/repos/golang/go/issues/58986,https://github.com/golang/go/pull/58986.diff,510.0,https://api.github.com/repos/golang/go/issues/58986/events,[],2023-03-12T00:20:16Z,,4
58976,zeldin,runtime/cgo: fix calls from C to go on linux/ppc64,2023-03-10T22:35:09Z,2023-03-11T01:15:32Z,,https://api.github.com/repos/golang/go/issues/58976,https://github.com/golang/go/pull/58976.diff,9623.0,https://api.github.com/repos/golang/go/issues/58976/events,[],2023-03-10T22:35:09Z,,8
58913,RPRX,crypto/tls: set const maxUselessRecords to 32 (the same with OpenSSL),2023-03-07T14:53:55Z,2023-03-07T17:40:00Z,,https://api.github.com/repos/golang/go/issues/58913,https://github.com/golang/go/pull/58913.diff,9965.0,https://api.github.com/repos/golang/go/issues/58913/events,[],2023-03-07T14:53:55Z,,2
58912,RPRX,crypto/tls: reject change_cipher_spec record after handshake in TLS 1.3,2023-03-07T14:06:56Z,2023-03-07T17:39:32Z,,https://api.github.com/repos/golang/go/issues/58912,https://github.com/golang/go/pull/58912.diff,12756.0,https://api.github.com/repos/golang/go/issues/58912/events,[],2023-03-07T14:06:56Z,,2
58908,wjw1758548031,cmd/go/internal/load/keys: Slice initialization capacity,2023-03-07T05:25:11Z,2023-03-07T05:32:17Z,,https://api.github.com/repos/golang/go/issues/58908,https://github.com/golang/go/pull/58908.diff,426.0,https://api.github.com/repos/golang/go/issues/58908/events,[],2023-03-07T05:25:11Z,,2
58869,nrvnrvn,cmd/link: add option to enable full RELRO for ELF,2023-03-04T23:11:05Z,2023-03-05T02:08:23Z,,https://api.github.com/repos/golang/go/issues/58869,https://github.com/golang/go/pull/58869.diff,10638.0,https://api.github.com/repos/golang/go/issues/58869/events,[],2023-03-04T23:11:05Z,,48
58864,brancz,debug/gosym: read start line of a function from gopclntab,2023-03-04T17:19:22Z,2023-03-04T17:25:54Z,,https://api.github.com/repos/golang/go/issues/58864,https://github.com/golang/go/pull/58864.diff,392.0,https://api.github.com/repos/golang/go/issues/58864/events,[],2023-03-04T17:19:22Z,,18
58836,mattysweeps,flag: continue parsing arguments when using ContinueOnError,2023-03-02T21:11:31Z,2023-03-02T23:08:57Z,,https://api.github.com/repos/golang/go/issues/58836,https://github.com/golang/go/pull/58836.diff,7046.0,https://api.github.com/repos/golang/go/issues/58836/events,[],2023-03-02T21:11:31Z,,2
58827,hitzhangjie,fix/fuzz: output int32(v)/rune(q) in failing log,2023-03-02T12:05:02Z,2023-03-02T15:59:27Z,,https://api.github.com/repos/golang/go/issues/58827,https://github.com/golang/go/pull/58827.diff,14065.0,https://api.github.com/repos/golang/go/issues/58827/events,[],2023-03-02T12:05:02Z,,8
58780,wjw1758548031,cmd/go/internal/load/keys: Slice initialization capacity,2023-02-28T06:09:08Z,2023-03-01T23:29:17Z,,https://api.github.com/repos/golang/go/issues/58780,https://github.com/golang/go/pull/58780.diff,148809.0,https://api.github.com/repos/golang/go/issues/58780/events,[],2023-02-28T06:09:08Z,,2
58684,KimMachineGun,time: fix timezone lookup logic for non-DST zones,2023-02-24T09:12:21Z,2023-03-11T04:51:39Z,,https://api.github.com/repos/golang/go/issues/58684,https://github.com/golang/go/pull/58684.diff,1280358.0,https://api.github.com/repos/golang/go/issues/58684/events,[],2023-02-24T09:12:21Z,,32
58658,irsl,archive/zip: return ErrInsecurePath for unsafe paths by OpenReader,2023-02-23T14:37:01Z,2023-03-07T17:30:01Z,,https://api.github.com/repos/golang/go/issues/58658,https://github.com/golang/go/pull/58658.diff,1047180.0,https://api.github.com/repos/golang/go/issues/58658/events,[],2023-02-23T14:37:01Z,,89
58651,wjw1758548031,cmd/compile: simplify range statement,2023-02-23T02:23:05Z,2023-03-10T00:00:36Z,,https://api.github.com/repos/golang/go/issues/58651,https://github.com/golang/go/pull/58651.diff,1287451.0,https://api.github.com/repos/golang/go/issues/58651/events,[],2023-02-23T02:23:05Z,,2
58578,laurentsenta,net/http: do not force the Content-Length header if nilled,2023-02-17T14:13:00Z,2023-03-10T13:20:14Z,,https://api.github.com/repos/golang/go/issues/58578,https://github.com/golang/go/pull/58578.diff,1811234.0,https://api.github.com/repos/golang/go/issues/58578/events,[],2023-02-17T14:13:00Z,,26
58566,eh-steve,cmd/compile: expose -ptabs flag to force compiler to emit ptabs,2023-02-16T17:42:04Z,2023-02-17T19:00:52Z,,https://api.github.com/repos/golang/go/issues/58566,https://github.com/golang/go/pull/58566.diff,91128.0,https://api.github.com/repos/golang/go/issues/58566/events,[],2023-02-16T17:42:04Z,,13
58537,wjw1758548031,bytes Adjust the length for the initialzation,2023-02-15T02:50:03Z,2023-02-15T21:01:36Z,,https://api.github.com/repos/golang/go/issues/58537,https://github.com/golang/go/pull/58537.diff,65493.0,https://api.github.com/repos/golang/go/issues/58537/events,[],2023-02-15T02:50:03Z,,2
58515,GoldenSheep402,net/http: delete blank lines,2023-02-14T06:55:03Z,2023-02-17T19:47:19Z,,https://api.github.com/repos/golang/go/issues/58515,https://github.com/golang/go/pull/58515.diff,305536.0,https://api.github.com/repos/golang/go/issues/58515/events,[],2023-02-14T06:55:03Z,,0
58497,xoba,syscall/js: correct the wrong name in error for Value.Length method,2023-02-13T18:16:56Z,2023-02-13T18:21:52Z,,https://api.github.com/repos/golang/go/issues/58497,https://github.com/golang/go/pull/58497.diff,296.0,https://api.github.com/repos/golang/go/issues/58497/events,[],2023-02-13T18:16:56Z,,2
58490,latentflip,database/sql: wake cleaner if maxIdleTime set to less than maxLifetime,2023-02-13T13:54:04Z,2023-03-09T11:17:02Z,,https://api.github.com/repos/golang/go/issues/58490,https://github.com/golang/go/pull/58490.diff,2064178.0,https://api.github.com/repos/golang/go/issues/58490/events,[],2023-02-13T13:54:04Z,,4
58401,xuri,encoding/xml: only overriding by empty namespace when no new name dec…,2023-02-08T08:03:22Z,2023-02-22T06:00:18Z,,https://api.github.com/repos/golang/go/issues/58401,https://github.com/golang/go/pull/58401.diff,1202216.0,https://api.github.com/repos/golang/go/issues/58401/events,[],2023-02-08T08:03:22Z,,9
58299,dcormier,crypto: support errors.Unwrap() for more crypto errors,2023-02-03T17:17:24Z,2023-02-06T21:02:49Z,,https://api.github.com/repos/golang/go/issues/58299,https://github.com/golang/go/pull/58299.diff,272725.0,https://api.github.com/repos/golang/go/issues/58299/events,[],2023-02-03T17:17:24Z,,54
58282,AlexanderYastrebov,net/http: add ResponseController http2 request without body read deadline test,2023-02-02T22:09:01Z,2023-02-03T05:24:41Z,,https://api.github.com/repos/golang/go/issues/58282,https://github.com/golang/go/pull/58282.diff,26140.0,https://api.github.com/repos/golang/go/issues/58282/events,[],2023-02-02T22:09:01Z,,12
58242,Scarjit,crypto: pkcs1v15 should support sha3 hashes and others,2023-02-02T12:52:23Z,2023-02-02T13:06:35Z,,https://api.github.com/repos/golang/go/issues/58242,https://github.com/golang/go/pull/58242.diff,852.0,https://api.github.com/repos/golang/go/issues/58242/events,[],2023-02-02T12:52:23Z,,23
58239,Jun10ng,runtime:add runtime_realgcount func for reducing one time stw when fe…,2023-02-02T06:45:24Z,2023-02-02T06:53:00Z,,https://api.github.com/repos/golang/go/issues/58239,https://github.com/golang/go/pull/58239.diff,456.0,https://api.github.com/repos/golang/go/issues/58239/events,[],2023-02-02T06:45:24Z,,17
58144,gucio321,math: support Clamp and Clamp01 methods,2023-01-30T18:44:12Z,2023-01-30T19:05:25Z,,https://api.github.com/repos/golang/go/issues/58144,https://github.com/golang/go/pull/58144.diff,1273.0,https://api.github.com/repos/golang/go/issues/58144/events,[],2023-01-30T18:44:12Z,,7
57947,unrealjo,math/pow : the power of zero to y > 0 is always zero,2023-01-21T16:19:01Z,2023-01-21T16:35:41Z,,https://api.github.com/repos/golang/go/issues/57947,https://github.com/golang/go/pull/57947.diff,1000.0,https://api.github.com/repos/golang/go/issues/57947/events,[],2023-01-21T16:19:01Z,,3
57917,Ja7ad,cmd/go/help: update package long description base on go module,2023-01-19T07:16:37Z,2023-02-13T05:10:04Z,,https://api.github.com/repos/golang/go/issues/57917,https://github.com/golang/go/pull/57917.diff,2152407.0,https://api.github.com/repos/golang/go/issues/57917/events,[],2023-01-19T07:16:37Z,,2
57815,wafuwafu13,"crypto/tls: add `certout`, `keyout` options",2023-01-16T12:56:08Z,2023-01-16T13:05:05Z,,https://api.github.com/repos/golang/go/issues/57815,https://github.com/golang/go/pull/57815.diff,537.0,https://api.github.com/repos/golang/go/issues/57815/events,[],2023-01-16T12:56:08Z,,22
57814,shogohida,cmd/go/internal: update documentation of go test and go generate,2023-01-16T12:37:21Z,2023-02-28T19:58:30Z,,https://api.github.com/repos/golang/go/issues/57814,https://github.com/golang/go/pull/57814.diff,3741669.0,https://api.github.com/repos/golang/go/issues/57814/events,[],2023-01-16T12:37:21Z,,1
57809,Ja7ad,os: add test for UserCacheDir,2023-01-16T08:18:43Z,2023-02-06T22:00:08Z,,https://api.github.com/repos/golang/go/issues/57809,https://github.com/golang/go/pull/57809.diff,1863685.0,https://api.github.com/repos/golang/go/issues/57809/events,[],2023-01-16T08:18:43Z,,14
57806,Ja7ad,net: update comment attempts query,2023-01-16T06:56:24Z,2023-02-01T00:22:23Z,,https://api.github.com/repos/golang/go/issues/57806,https://github.com/golang/go/pull/57806.diff,1358759.0,https://api.github.com/repos/golang/go/issues/57806/events,[],2023-01-16T06:56:24Z,,2
57774,aathan,spec: clarify effects of calling recover (take 2),2023-01-13T03:21:23Z,2023-01-13T04:59:41Z,,https://api.github.com/repos/golang/go/issues/57774,https://github.com/golang/go/pull/57774.diff,5898.0,https://api.github.com/repos/golang/go/issues/57774/events,[],2023-01-13T03:21:23Z,,0
57761,mpetrunic,net/ip: proper ipv6 address parsing,2023-01-12T16:23:37Z,2023-02-01T22:58:16Z,,https://api.github.com/repos/golang/go/issues/57761,https://github.com/golang/go/pull/57761.diff,1751679.0,https://api.github.com/repos/golang/go/issues/57761/events,[],2023-01-12T16:23:37Z,,17
57700,mateusz834,crypto/aes: reduce allocations in NewCipher,2023-01-09T13:06:02Z,2023-01-09T13:59:34Z,,https://api.github.com/repos/golang/go/issues/57700,https://github.com/golang/go/pull/57700.diff,3212.0,https://api.github.com/repos/golang/go/issues/57700/events,[],2023-01-09T13:06:02Z,,18
57695,wjw1758548031,go src cmd api NewWalker Reducing the code makes the code more concise,2023-01-09T08:32:58Z,2023-01-09T08:36:14Z,,https://api.github.com/repos/golang/go/issues/57695,https://github.com/golang/go/pull/57695.diff,196.0,https://api.github.com/repos/golang/go/issues/57695/events,[],2023-01-09T08:32:58Z,,2
57676,arag0re,Update aes_gcm.go,2023-01-08T02:34:41Z,2023-01-09T20:43:58Z,,https://api.github.com/repos/golang/go/issues/57676,https://github.com/golang/go/pull/57676.diff,151757.0,https://api.github.com/repos/golang/go/issues/57676/events,[],2023-01-08T02:34:41Z,,6
57507,mateusz834,net: treat EAI_NODATA as errNoSuchHost,2022-12-29T12:10:48Z,2022-12-29T18:29:31Z,,https://api.github.com/repos/golang/go/issues/57507,https://github.com/golang/go/pull/57507.diff,22723.0,https://api.github.com/repos/golang/go/issues/57507/events,[],2022-12-29T12:10:48Z,,3
57460,jquirke,cmd/link: remove objIdx structure,2022-12-25T23:15:56Z,2022-12-27T22:14:50Z,,https://api.github.com/repos/golang/go/issues/57460,https://github.com/golang/go/pull/57460.diff,169134.0,https://api.github.com/repos/golang/go/issues/57460/events,[],2022-12-25T23:15:56Z,,67
57458,ananthb,os/user: lookup Linux users and groups via systemd userdb,2022-12-25T18:58:35Z,2023-03-11T00:39:57Z,,https://api.github.com/repos/golang/go/issues/57458,https://github.com/golang/go/pull/57458.diff,6500482.0,https://api.github.com/repos/golang/go/issues/57458/events,[],2022-12-25T18:58:35Z,,994
57448,lcr2000,"net/http: check for nil, nil return from DialContext as well as Dial",2022-12-22T17:18:41Z,2023-01-20T00:48:33Z,,https://api.github.com/repos/golang/go/issues/57448,https://github.com/golang/go/pull/57448.diff,2446192.0,https://api.github.com/repos/golang/go/issues/57448/events,[],2022-12-22T17:18:41Z,,6
57439,wjw1758548031,cmd api NewWalker Reducing the code makes the code more concise,2022-12-22T03:15:33Z,2022-12-29T03:05:27Z,,https://api.github.com/repos/golang/go/issues/57439,https://github.com/golang/go/pull/57439.diff,604194.0,https://api.github.com/repos/golang/go/issues/57439/events,[],2022-12-22T03:15:33Z,,2
57390,0x2d3c,encoding/asn1: use errors.New to replace fmt.Errorf,2022-12-19T04:00:09Z,2023-01-05T02:32:47Z,,https://api.github.com/repos/golang/go/issues/57390,https://github.com/golang/go/pull/57390.diff,1463558.0,https://api.github.com/repos/golang/go/issues/57390/events,[],2022-12-19T04:00:09Z,,2
57321,wjw1758548031,convert-normative-grammar,2022-12-15T09:49:53Z,2022-12-15T18:02:13Z,,https://api.github.com/repos/golang/go/issues/57321,https://github.com/golang/go/pull/57321.diff,29540.0,https://api.github.com/repos/golang/go/issues/57321/events,[],2022-12-15T09:49:53Z,,4
57299,wjw1758548031,normative grammar,2022-12-14T03:33:32Z,2022-12-14T04:44:50Z,,https://api.github.com/repos/golang/go/issues/57299,https://github.com/golang/go/pull/57299.diff,4278.0,https://api.github.com/repos/golang/go/issues/57299/events,[],2022-12-14T03:33:32Z,,4
57293,sashamelentyev,all: change Printf and friends to Print when there is no formatting required,2022-12-13T19:55:12Z,2023-01-24T17:39:39Z,,https://api.github.com/repos/golang/go/issues/57293,https://github.com/golang/go/pull/57293.diff,3620667.0,https://api.github.com/repos/golang/go/issues/57293/events,[],2022-12-13T19:55:12Z,,254
